tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
100368,45325491,True,Mon Jun 05 20:27:00 +0000 2023,my promo code didn't apply and I got charged full price @Uber_Support,100369,
100104,Uber_Support,False,Sat Nov 11 03:38:00 +0000 2023,We'd like to take a closer look. Can you send us the trip ID via DM so we can check the fare breakdown?,,100103
100099,Uber_Support,False,Sun May 28 19:56:00 +0000 2023,Sorry to hear that -- send us the trip ID in a DM so we can take a look.,100100,100098
100384,Uber_Support,False,Sun Jun 18 23:15:00 +0000 2023,We'd like to take a closer look. Can you send us the trip ID via DM so we can check the fare breakdown?,100385,100383
100402,34669572,True,Tue May 23 21:39:00 +0000 2023,does uber operate in Cape Town yet? @Uber_Support,100403,
100034,Uber_Support,False,Sun Aug 27 12:03:00 +0000 2023,You can report this and contact your driver directly through the app: go to your trip in the app and tap 'I lost an item'.,100035,100033
100265,68272536,True,Sat Nov 25 06:34:00 +0000 2023,does uber operate in Cape Town yet? @Uber_Support,100266,
100119,Uber_Support,False,Thu Aug 31 06:08:00 +0000 2023,That's not the experience we want for you. Could you DM us the trip details so we can follow up?,100120,100118
100327,29094692,True,Wed May 31 11:49:00 +0000 2023,ok thank you,,100326
100493,57661401,True,Mon Oct 09 05:03:00 +0000 2023,"done, sent the details",,100492
100059,Uber_Support,False,Tue Jan 31 21:51:00 +0000 2023,Sorry about that! Please DM us your trip ID and email on file so we can review the charge.,,100058
100515,Uber_Support,False,Sat Jan 21 08:46:00 +0000 2023,We understand. Please DM your trip ID and we'll review it for a possible refund.,,100514
100608,29460311,True,Thu Jun 08 14:43:00 +0000 2023,"left my jacket in the car from my ride tonight, help! @Uber_Support...",100609,
100420,Uber_Support,False,Wed Feb 01 02:37:00 +0000 2023,This made our day! Thank you for sharing -- we'll be sure to pass it along.,100421,100419
100523,61684447,True,Fri Nov 03 15:41:00 +0000 2023,does uber operate in Cape Town yet? @Uber_Support,100524,
100407,66181191,True,Thu Nov 30 08:00:00 +0000 2023,still waiting to hear back,,100406
100162,Uber_Support,False,Sat Nov 25 06:51:00 +0000 2023,We'd like to take a closer look. Can you send us the trip ID via DM so we can check the fare breakdown?,,100161
100415,34949696,True,Sun Jun 25 08:00:00 +0000 2023,does uber operate in Cape Town yet? @Uber_Support,100416,
100026,48578460,True,Fri Feb 17 02:59:00 +0000 2023,still waiting to hear back,,100025
